"得意先コード","得意先名","部門コード","部門名","商品コード","商品名","仕様・規格","単位","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0001","株式会社カナデン","DNK-E","電力機器事業部","E-00080601","PV6/3KV 3P3W 300KVA  50Hz SV200V級/異結線 Y-Δ,Δ-Δ(A)","","個","1581000","1581000","949280","1.0000","1.0000","1","631720","40"
"EJR0001","株式会社カナデン","DNK-E","電力機器事業部","E-00098780","M4KM-RL 1P2W 200V 60A 50HZ 検付","","","56700","56700","37800","1.0000","1.0000","1","18900","33.3"
"EJR0001","株式会社カナデン","DNK-E","電力機器事業部","E-00099103","M5VM-LTR 3P3W 200V 120A 50Hz 検定付 無線 (A)","","台","270000","270000","179400","5.0000","5.0000","1","90600","33.6"
"EJR0001","株式会社カナデン","DNK-E","電力機器事業部","E-00099226","M5VM-LTR 1P3W 100V 120A 50Hz 検定付 無線 (A)","","台","324000","324000","215280","6.0000","6.0000","1","108720","33.6"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","99999","金額一式","","式","430300","430300","321800","136.0000","136.0000","8","108500","25.2"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079553","SF1R油6KV 1P3W 20KVA 50Hz SV210/105V(A)","","個","225000","225000","167360","1.0000","1.0000","1","57640","25.6"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079573","SF1R油6KV 1P3W 150KVA 50Hz SV210/105V(A)","","個","1008000","1008000","839300","2.0000","2.0000","1","168700","16.7"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079581","SF1R油6KV 1P3W 300KVA 50Hz SV210/105V(A)","","個","1152000","1152000","751990","1.0000","1.0000","1","400010","34.7"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079633","RA3R油6KV 3P3W 30KVA 50Hz SV210V Y-Y(A)","","個","674200","674200","336320","1.0000","1.0000","1","337880","50.1"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079661","RA3R油6KV 3P3W 500KVA 50Hz SV210V Y-D(A)","","個","1859000","1859000","1269820","1.0000","1.0000","1","589180","31.7"
