"得意先コード","得意先名","部門コード","部門名","商品コード","商品名","仕様・規格","単位","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0005","東日本旅客鉄道株式会社　横浜電力設備技術センター","DNK-E","電力機器事業部","E-00079569","SF1R油6KV 1P3W 100KVA 50Hz SV210/105V(A)","","個","1674000","1674000","806180","2.0000","2.0000","1","867820","51.8"
"EJR0005","東日本旅客鉄道株式会社　横浜電力設備技術センター","DNK-E","電力機器事業部","E-00079625","SF1R油6KV 1P3W 500KVA 60Hz SV210/105V(A)","","個","2604000","2604000","1421100","1.0000","1.0000","1","1182900","45.4"
"EJR0005","東日本旅客鉄道株式会社　横浜電力設備技術センター","DNK-E","電力機器事業部","E-00079657","RA3R油6KV 3P3W 300KVA 50Hz SV210V Y-D(A)","","個","1748400","1748400","1021780","1.0000","1.0000","1","726620","41.6"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","","","M-00000024","NEC 液晶ディスプレイ 49型 LCD-MA491","","","4272000","4272000","3282996","12.0000","12.0000","1","989004","23.2"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","99999","金額一式","","式","6097340","6097340","4414943","215.0000","215.0000","21","1682397","27.6"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00099488","CV-1R PV6.6KV 1P3W 300KVA 50Hz SV210/105V","","台","7440000","7440000","3515200","2.0000","2.0000","1","3924800","52.8"
"EJR0010","東日本旅客鉄道株式会社　千葉電力設備技術センター","DNK-E","電力機器事業部","9999","出精値引き","","式","-63200","-63200","0","1.0000","1.0000","1","-63200","100"
"EJR0010","東日本旅客鉄道株式会社　千葉電力設備技術センター","DNK-E","電力機器事業部","99999","金額一式","","式","471220","471220","287990","11.0000","11.0000","9","183230","38.9"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","E-00079633","RA3R油6KV 3P3W 30KVA 50Hz SV210V Y-Y(A)","","個","6692280","6692280","4147990","14.0000","14.0000","2","2544290","38"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","E-00079637","RA3R油6KV 3P3W 50KVA 50Hz SV210V Y-Y(A)","","個","567300","567300","361580","1.0000","1.0000","1","205720","36.3"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","9999","出精値引き","","式","-112070","-112070","0","1.0000","1.0000","1","-112070","100"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00093594","FR-B1F (B)","","個","10640","10640","6650","1.0000","1.0000","1","3990","37.5"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00093614","FR-HAL-0.4K (B)","","個","48720","48720","30450","3.0000","3.0000","2","18270","37.5"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00093616","FR-HAL-0.4K (U)","","個","41220","41220","25760","2.0000","2.0000","1","15460","37.5"
