"得意先コード","得意先名","部門コード","部門名","商品コード","商品名","仕様・規格","単位","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0005","東日本旅客鉄道株式会社　横浜電力設備技術センター","DNK-E","電力機器事業部","E-00079561","SF1R油6KV 1P3W 50KVA 50Hz SV210/105V(A)","","個","1144000","1144000","680780","2.0000","2.0000","1","463220","40.5"
"EJR0005","東日本旅客鉄道株式会社　横浜電力設備技術センター","DNK-E","電力機器事業部","E-00079577","SF1R油6KV 1P3W 200KVA 50Hz SV210/105V(A)","","個","1552000","1552000","1100460","2.0000","2.0000","1","451540","29.1"
"EJR0005","東日本旅客鉄道株式会社　横浜電力設備技術センター","DNK-E","電力機器事業部","E-00079653","RA3R油6KV 3P3W 200KVA 50Hz SV210V Y-D(A)","","個","960000","960000","602990","1.0000","1.0000","1","357010","37.2"
"EJR0006","東日本旅客鉄道株式会社 八王子電力設備技術センター","DNK-E","電力機器事業部","99999","金額一式","","式","1980900","1980900","1126080","2.0000","2.0000","2","854820","43.2"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079549","SF1R油6KV 1P3W 10KVA 50Hz SV210/105V(A)","","個","454400","454400","288820","2.0000","2.0000","2","165580","36.4"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079553","SF1R油6KV 1P3W 20KVA 50Hz SV210/105V(A)","","個","483600","483600","334720","2.0000","2.0000","1","148880","30.8"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079557","SF1R油6KV 1P3W 30KVA 50Hz SV210/105V(A)","","個","268000","268000","185690","1.0000","1.0000","1","82310","30.7"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079565","SF1R油6KV 1P3W 75KVA 50Hz SV210/105V(A)","","個","363630","363630","244980","1.0000","1.0000","1","118650","32.6"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079573","SF1R油6KV 1P3W 150KVA 50Hz SV210/105V(A)","","個","504990","504990","419650","1.0000","1.0000","1","85340","16.9"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079629","RA3R油6KV 3P3W 20KVA 50Hz SV210V Y-Y(A)","","個","576600","576600","397680","2.0000","2.0000","1","178920","31"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079641","RA3R油6KV 3P3W 75KVA 50Hz SV210V Y-D(A)","","個","1770720","1770720","1111560","4.0000","4.0000","1","659160","37.2"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079645","RA3R油6KV 3P3W 100KVA 50Hz SV210V Y-D(A)","","個","1093680","1093680","641720","2.0000","2.0000","1","451960","41.3"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00079649","RA3R油6KV 3P3W 150KVA 50Hz SV210V Y-D(A)","","個","1361520","1361520","999460","2.0000","2.0000","1","362060","26.6"
"EJR0027","東日本旅客鉄道株式会社　品川電力設備技術センター","DNK-E","電力機器事業部","E-00101446","CV-FPN PV415V 3P4W 30KVA 50Hz SV210Y/121V Δ-Y","","台","3124800","3124800","1027540","2.0000","2.0000","1","2097260","67.1"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","9999","出精値引き","","式","3000","3000","3000","1.0000","1.0000","1","0","0"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098675","SF-PRFO 2.2KW 4P 200V 50/60Hz 屋外 フランジ横置(B)","","台","120470","120470","86490","2.0000","2.0000","2","33980","28.2"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00099675","SF-PRFO 7.5KW 4P 200/200/220/230V 50/60Hz(B)","","台","175080","175080","140060","1.0000","1.0000","1","35020","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00100902","XF-NE 0.75KW 6P 400/400/440V 50/60Hz 屋外 脚付","","台","118960","118960","92220","1.0000","1.0000","1","26740","22.5"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00100903","FR-B3-H750","","台","82150","82150","58680","1.0000","1.0000","1","23470","28.6"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00100920","SF-PRO 18.5KW 6P 400/400/440/460V 50/60Hz 屋外・脚取付","","","1565580","1565580","782550","3.0000","3.0000","1","783030","50"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00100921","SF-PRO 3.7KW 6P 400/400/440/460V 50/60Hz 屋外・脚取付","","","171500","171500","85740","1.0000","1.0000","1","85760","50"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00101043","SF-PRFO 0.4KW 4P　200V 50/60Hz 屋外・フランジ（横置）","","台","64520","64520","51620","2.0000","2.0000","1","12900","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00101539","IKH3-FCKLAW21E 1.5KW 4P 200V","東芝 フランジ,屋外","台","51200","51200","44510","1.0000","1.0000","1","6690","13.1"
"EOT0002","有限会社ヤスコーポレーション","DNK-E","電力機器事業部","99999","金額一式","","式","126160","126160","106050","1.0000","1.0000","1","20110","15.9"
"EOT0004","光栄電機工業株式会社","DNK-E","電力機器事業部","E-00007952","NF630-CW 3P 600A (U)","","個","47630","47630","43310","1.0000","1.0000","1","4320","9.1"
"EOT0004","光栄電機工業株式会社","DNK-E","電力機器事業部","E-00023565","NV400-CW 3P 300A 1/2/500mA換(A)","","個","128360","128360","116680","4.0000","4.0000","1","11680","9.1"
"EOT0004","光栄電機工業株式会社","DNK-E","電力機器事業部","E-99999999","送料","","式","1800","1800","1590","1.0000","1.0000","1","210","11.7"
"EOT0007","西山電気株式会社","DNK-E","電力機器事業部","99999","金額一式","","式","383330","383330","0","1.0000","1.0000","1","383330","100"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","9999","出精値引き","","式","-1014280","-1014280","-5620","16.0000","16.0000","4","-1008660","99.4"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","99999","金額一式","","式","22052300","22052300","12781181","91.0000","91.0000","57","9271119","42"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000209","B-PS3A (A)","","個","18500","18500","14900","1.0000","1.0000","1","3600","19.5"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000293","NF125-ZSV 3P 50A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ BPM(A)","","個","39260","39260","32290","1.0000","1.0000","1","6970","17.8"
"ESB0001","株式会社新陽社","DNK-E","電力機器事業部","E-00000337","NF250-ZHV 3P 125A AL AX ECA/SHTDC24Vﾕﾆｯﾄ 自動ﾘｾｯﾄ(A)","","個","58970","58970","48050","1.0000","1.0000","1","10920","18.5"
