"得意先コード","得意先名","部門コード","部門名","商品コード","商品名","仕様・規格","単位","総売上額","純売上額","原価計","総売上数","純売上数","明細数","粗利益","粗利率"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","9999","出精値引き","","式","0","-295000","0","0.0000","0.0000","1","-295000","100"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00098737","SF1R 油 6KV　1P3W 10KVA 50HZ SV210/105V　5ﾀｯﾌﾟ 耐塩ブッシング付","","台","1056000","1056000","510120","4.0000","4.0000","1","545880","51.7"
"EJR0007","東日本旅客鉄道株式会社　大宮電力設備技術センター","DNK-E","電力機器事業部","E-00098738","RA3R 油 6KV 3P3W 20KVA 50HZ SV210V Y-Y 5ﾀｯﾌﾟ 耐塩ブッシング付","","台","1089000","1089000","592920","3.0000","3.0000","1","496080","45.6"
"EJR0009","東日本旅客鉄道株式会社　水戸電力設備技術センター","DNK-E","電力機器事業部","E-00099239","スマートメーター設定用PC","","台","440000","440000","402160","2.0000","2.0000","1","37840","8.6"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","9999","出精値引き","","式","-1087000","-1087000","0","3.0000","3.0000","3","-1087000","100"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","E-00079633","RA3R油6KV 3P3W 30KVA 50Hz SV210V Y-Y(A)","","個","14560000","14560000","7672960","32.0000","32.0000","3","6887040","47.3"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","E-00079637","RA3R油6KV 3P3W 50KVA 50Hz SV210V Y-Y(A)","","個","968000","968000","571040","2.0000","2.0000","1","396960","41"
"EJR0013","東日本旅客鉄道株式会社　上信越新幹線電力技術センター","DNK-E","電力機器事業部","E-00099196","RA-3R PV6.6KV 3P4W 30KVA 60Hz SV210/121V Δ-Y","5ﾀｯﾌﾟ","","6032000","6032000","3568890","13.0000","13.0000","2","2463110","40.8"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098350","VTFOA-LK 2.2KW 4P 200V (B)","","個","45980","45980","41800","1.0000","1.0000","1","4180","9.1"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098540","SF-PRFO 1.5KW 4P 200V 50/60HZ 屋外・フランジ（横置）(B)","","台","134460","134460","107560","4.0000","4.0000","4","26900","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098541","SF-PRO 0.75KW 6P 200V 50/60HZ 屋外(B)","","台","67960","67960","54360","2.0000","2.0000","1","13600","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098542","XF-NEFCAO-2 1.5KW 4P 400/440V 50/60HZ 屋外・耐圧防爆・フランジ（横置）・インバータ定トルク駆動（B)","","台","123620","123620","95830","1.0000","1.0000","1","27790","22.5"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098543","FR-HEL-H1.5K(B)","","台","3920","3920","2800","1.0000","1.0000","1","1120","28.6"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098544","FR-B3-H1500(B)","","台","90720","90720","64800","1.0000","1.0000","1","25920","28.6"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098545","SF-PRFO 3.7KW 4P 200V 50/60Hz 屋外・フランジ（横置）(B)","","台","396400","396400","316920","7.0000","7.0000","5","79480","20.1"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098546","SF-PRFO 0.75KW 4P 200V 50/60HZ 屋外・フランジ（横置）(B)(B)","","台","170400","170400","136200","6.0000","6.0000","2","34200","20.1"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098547","SF-JRFO 0.4KW 4P 200V 50/60HZ 屋外・フランジ(横置）(B)","","台","74400","74400","59520","6.0000","6.0000","6","14880","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098548","SF-PRO 7.5KW 6P 200V 60HZ 屋外・脚付・(横置）(B)","","台","147100","147100","117650","1.0000","1.0000","1","29450","20"
"EOT0001","日本シーペックス株式会社","DNK-E","電力機器事業部","E-00098549","GM-DP 脚取付 1.5KW 4P 3X200V IP44 屋外・減速比1/10(C)","","台","240000","240000","169520","4.0000","4.0000","3","70480","29.4"
